,customer_city,price,cumulative_sum,cumcut
3504,coronel joao pessoa,89.9,13781205.580000298,0.9978622042581442
3505,retirolandia,89.9,13781295.480000298,0.9978687136895319
3506,machados,89.9,13781385.380000299,0.9978752231209197
3507,redencao da serra,89.9,13781475.2800003,0.9978817325523074
3508,cujubim,89.9,13781565.1800003,0.9978882419836951
3509,coronel sapucaia,89.9,13781655.0800003,0.9978947514150829
3510,estrela do sul,89.9,13781744.9800003,0.9979012608464706
3511,rancho alegre,89.9,13781834.8800003,0.9979077702778583
3512,pedras altas,89.9,13781924.780000301,0.9979142797092461
3513,macaubal,89.8,13782014.580000302,0.997920781899887
3514,mogi-mirim,89.8,13782104.380000303,0.9979272840905279
3515,capela nova,89.77,13782194.150000302,0.9979337841089447
3516,fonseca,89.65,13782283.800000302,0.9979402754384654
3517,atalaia,89.58,13782373.380000303,0.9979467616994633
3518,aguas mornas,89.15,13782462.530000303,0.9979532168252498
3519,arapua,89.0,13782551.530000303,0.9979596610899163
3520,lucena,89.0,13782640.530000303,0.9979661053545826
3521,taparuba,89.0,13782729.530000303,0.997972549619249
3522,coronel domingos soares,89.0,13782818.530000303,0.9979789938839153
3523,aquidaba,89.0,13782907.530000303,0.9979854381485816
3524,vanini,89.0,13782996.530000303,0.997991882413248
3525,sao pedro do turvo,88.9,13783085.430000303,0.9979983194371675
3526,alto alegre do maranhao,88.9,13783174.330000304,0.9980047564610871
3527,xexeu,87.5,13783261.830000304,0.9980110921145513
3528,carmopolis,87.31,13783349.140000304,0.9980174140105965
3529,pato bragado,86.69999999999999,13783435.840000303,0.998023691738086
3530,sao mamede,86.0,13783521.840000303,0.9980299187803479
3531,varzea nova,86.0,13783607.840000303,0.9980361458226098
3532,moncao,85.99,13783693.830000304,0.9980423721407969
3533,vitoria do jari,85.95,13783779.780000303,0.9980485955626853
3534,novo brasil,85.9,13783865.680000303,0.9980548153642005
3535,bom jesus da penha,85.89,13783951.570000304,0.9980610344416408
3536,vila nova,85.47,13784037.040000305,0.9980672231079446
3537,piquerobi,85.0,13784122.040000305,0.9980733777427384
